catalog_item_id	display_name	object_type	source_repo	source_ref	source_path	skill_md_url	expected_skill_md_sha256	codex_install_name	codex_install_source	source_verification	dependency_scan	local_install_command_declared	strict_t1_eligibility	install_smoke_status	invoke_smoke_status	uninstall_smoke_status	review_status
ITEM-032	fair-esm2	Agent技能包	JimLiu/science-skills	fb309c32ee9a54dad169fa845638057d1cfac77f	skills/fair-esm2	https://github.com/JimLiu/science-skills/blob/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/fair-esm2/SKILL.md	ab851af1124c563b183e4d98fc6891cc289a61b83a5dd4145618970b6942ece5	fair-esm2	https://github.com/JimLiu/science-skills/tree/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/fair-esm2	sha256_pass	no_explicit_mcp_or_key	yes	candidate_pending_runtime_smoke	not_run	not_run	not_run	eligible_t1_codex
ITEM-033	evo2	Agent技能包	JimLiu/science-skills	fb309c32ee9a54dad169fa845638057d1cfac77f	skills/evo2	https://github.com/JimLiu/science-skills/blob/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/evo2/SKILL.md	fe826880691971ed32e472b63e3d99be104ce2afc0e78ce50a332c26642e9fe1	evo2	https://github.com/JimLiu/science-skills/tree/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/evo2	sha256_pass	no_explicit_mcp_or_key	yes	candidate_pending_runtime_smoke	not_run	not_run	not_run	eligible_t1_codex
ITEM-034	borzoi	Agent技能包	JimLiu/science-skills	fb309c32ee9a54dad169fa845638057d1cfac77f	skills/borzoi	https://github.com/JimLiu/science-skills/blob/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/borzoi/SKILL.md	138b38790b1a1c6a2c48a1c9712256f168790a01f5f5f9a4810ca5e0f2c1a62d	borzoi	https://github.com/JimLiu/science-skills/tree/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/borzoi	sha256_pass	no_explicit_mcp_or_key	no	candidate_pending_runtime_smoke	not_run	not_run	not_run	eligible_t1_codex
ITEM-035	scgpt	Agent技能包	JimLiu/science-skills	fb309c32ee9a54dad169fa845638057d1cfac77f	skills/scgpt	https://github.com/JimLiu/science-skills/blob/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/scgpt/SKILL.md	7af27c91d22afd7bd465d2d84b5fbe6702792d9233fa81ab75cbfa00818cf55e	scgpt	https://github.com/JimLiu/science-skills/tree/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/scgpt	sha256_pass	no_explicit_mcp_or_key	no	candidate_pending_runtime_smoke	pass	not_run	not_run	eligible_t1_codex_selected_static_pass
ITEM-036	scvi-tools	Agent技能包	JimLiu/science-skills	fb309c32ee9a54dad169fa845638057d1cfac77f	skills/scvi-tools	https://github.com/JimLiu/science-skills/blob/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/scvi-tools/SKILL.md	5b206bb329a8953264333f757a0360f635d45486a5e8cc167b54205c9ded9bda	scvi-tools	https://github.com/JimLiu/science-skills/tree/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/scvi-tools	sha256_pass	no_explicit_mcp_or_key	no	candidate_pending_runtime_smoke	pass	not_run	not_run	eligible_t1_codex_selected_static_pass
ITEM-092	Affinity Maturation Pipeline	Agent技能包	SpectrAI-Initiative/InnoClaw	67231f373deac3db29f685985a5632b6c0eb0f08	.claude/skills/affinity_maturation	https://github.com/SpectrAI-Initiative/InnoClaw/blob/67231f373deac3db29f685985a5632b6c0eb0f08/.claude/skills/affinity_maturation/SKILL.md	25d1efd9bda3871996ca3f308c6dc7468e58a3956eb32cf5dfaf864515907fcc	affinity_maturation	https://github.com/SpectrAI-Initiative/InnoClaw/tree/67231f373deac3db29f685985a5632b6c0eb0f08/.claude/skills/affinity_maturation	sha256_pass	mcp_or_api_key	no	blocked_external_dependency	not_run	not_run	not_run	installable_but_not_strict_t1
ITEM-093	Alanine Scanning Mutagenesis Pipeline	Agent技能包	SpectrAI-Initiative/InnoClaw	67231f373deac3db29f685985a5632b6c0eb0f08	.claude/skills/alanine_scanning_pipeline	https://github.com/SpectrAI-Initiative/InnoClaw/blob/67231f373deac3db29f685985a5632b6c0eb0f08/.claude/skills/alanine_scanning_pipeline/SKILL.md	18032e5dbbd1b8b9f318d036a0a6eb58373b4089b4ee881563bd23a04e0728d4	alanine_scanning_pipeline	https://github.com/SpectrAI-Initiative/InnoClaw/tree/67231f373deac3db29f685985a5632b6c0eb0f08/.claude/skills/alanine_scanning_pipeline	sha256_pass	mcp_or_api_key	no	blocked_external_dependency	not_run	not_run	not_run	installable_but_not_strict_t1
ITEM-094	AlphaFold Structure Analysis Pipeline	Agent技能包	SpectrAI-Initiative/InnoClaw	67231f373deac3db29f685985a5632b6c0eb0f08	.claude/skills/alphafold_structure_pipeline	https://github.com/SpectrAI-Initiative/InnoClaw/blob/67231f373deac3db29f685985a5632b6c0eb0f08/.claude/skills/alphafold_structure_pipeline/SKILL.md	6e9d8abc8d25532d50f57cc3ca1f77ef91aa62c74791004eb63e1783224d7943	alphafold_structure_pipeline	https://github.com/SpectrAI-Initiative/InnoClaw/tree/67231f373deac3db29f685985a5632b6c0eb0f08/.claude/skills/alphafold_structure_pipeline	sha256_pass	mcp_or_api_key	no	blocked_external_dependency	not_run	not_run	not_run	installable_but_not_strict_t1
ITEM-095	Analyze DNA and RNA sequences including molecular weight calculation, reverse complement generation, and oligonucleotide properties.	Agent技能包	SpectrAI-Initiative/InnoClaw	67231f373deac3db29f685985a5632b6c0eb0f08	.claude/skills/dna-rna-sequence-analysis	https://github.com/SpectrAI-Initiative/InnoClaw/blob/67231f373deac3db29f685985a5632b6c0eb0f08/.claude/skills/dna-rna-sequence-analysis/SKILL.md	3b5447a94d016b1863ae3cc37222c0bbbc33a4621c390e4212ab8f4fa3fa2b5d	dna-rna-sequence-analysis	https://github.com/SpectrAI-Initiative/InnoClaw/tree/67231f373deac3db29f685985a5632b6c0eb0f08/.claude/skills/dna-rna-sequence-analysis	sha256_pass	mcp_or_api_key	no	blocked_external_dependency	pass	not_run	not_run	installable_but_not_strict_t1
ITEM-096	Analyze protein sequences using InterProScan to identify functional domains, protein families, and Gene Ontology (GO) annotations.	Agent技能包	SpectrAI-Initiative/InnoClaw	67231f373deac3db29f685985a5632b6c0eb0f08	.claude/skills/interproscan-domain-analysis	https://github.com/SpectrAI-Initiative/InnoClaw/blob/67231f373deac3db29f685985a5632b6c0eb0f08/.claude/skills/interproscan-domain-analysis/SKILL.md	52b240089eb988832657cc053990f64c84fb703fc8be8b4de23ebf7b8f2ccba1	interproscan-domain-analysis	https://github.com/SpectrAI-Initiative/InnoClaw/tree/67231f373deac3db29f685985a5632b6c0eb0f08/.claude/skills/interproscan-domain-analysis	sha256_pass	mcp_or_api_key	no	blocked_external_dependency	not_run	not_run	not_run	installable_but_not_strict_t1
